EVENTO,FORMADOR (A)/TUTOR (A),INICIO DA FORMAÇÃO,FIM DA FORMAÇÃO,HORARIO INICIO,HORARIO FIM,CH,MODALIDADE,LOCAL,PÚBLICO-ALVO
CURSO PREVENÇÃO E ENFRENTAMENTO DA DISCRIMINAÇÃO E DO ASSÉDIO MORAL E SEXUAL NO TRABALHO,AUTOINSTRUCIONAL – compartilhado pela escola TRT 3ª Região,1 º/04/25,30/04/25,,,40h/a,EAD,MOODLE,SERV./ MAGIS. SERV. GESTORES(AS)
CURSO ATUALIZAÇÃO EM DIREITO DE FAMÍLIA E PROCEDIMENTOS NAS MEDIAÇÕES JUDICIAIS,Dra. FERNANDA TARTUCE (PJ),03/04/25,28/04/25,14:30,17:30,20h/a,REMOTO,ZOOM,70 SERV. (NUPEMEC)
CURSO ACADEMIA DE LÍDERES: LIDERANÇA E GOVERNANÇA ESTRATÉGICA NO JUDICIÁRIO – MÓDULO 1,JOB DUARTE (INSTRUTOR INTERNO),07/04/25,11/04/25,08:30,12:30,20h/a,PRESENCIAL,PRESENCIAL,Indicação SGP/ 40 vagas
CURSO PROCESSO JUDICIAL ELETRÔNICO (PJE) NA PRÁTICA - ÁREA CÍVEL,ESCLEPÍADES DE OLIVEIRA NETO E RAIMUNDO SANTANA LIMA FILHO  (INSTRUTORES INTERNOS),07/04/25,11/04/25,14:00,18:00,20h/a,REMOTO,ZOOM,-
"CURSO SNIPER, CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0",CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,07/04/25,11/04/25,,,4h/a,EAD,MOODLE,MAGIS. SERV. TJAP
Workshop PROJETO CIENTÍFICO e CURRÍCULO LATTES,DANIELA SILVA FONTOURA DE BARCELLOS,11/04/25,11/04/25,08:00,20:00,12h/a,-,-,MAGIS/SERV.
"CURSO DIREITO INDÍGENA  (Resoluções CNJ n.º 454/2023, 287/2019 e 299/2019) Credenciado na ENFAM, valido para fins de vitaliciamento e promoção.",TUTOR ANDRE AUGUSTO SALVADOR BEZERRA (INSTRUTOR EXTERNO),14/04/25,15/05/25,,,30h/a,EAD,EAD,MAGIS/SERV.
CURSO GESTÃO COMPLETA E EFICIENTE DO PATRIMÔNIO PÚBLICO,PAULO ROSSO CONSULTRE - CONSULTORIA E TREINAMENTO LTDA. (PJ),14/04/25,05/05/25,,,20h/a,EAD,MOODLE,4 SERV. SGA
CURSO CONCILIAÇÃO JUDICIAL PARA ESTAGIÁRIOS DE CEJUSC,EUZINETE DA SILVA BENTES NILCE HELENA  (INSTRUTORAS INTERNAS),22/04/25,28/04/25,,,20h/a,PRESENCIAL,PRESENCIAL,ESTAGIÁRIOS (AS) DOS CEJUSCS
CURSO FOLHA DE PAGAMENTO NO FUNCIONALISMO PÚBLICO  (fora do Estado - Fortaleza-CE),ESAFI – ESCOLA DE GESTÃO PÚBLICA (PJ),23/04/25,25/04/25,,,21h/a,PRESENCIAL,PRESENCIAL,3 SERV. AUDITORIA INTERNA
